epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,2663.09,0.57134,0.34497,1.126,0.94615,0.9469,0.97559,0.82452,0.62165,0.33423,1.20577,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2711.44,0.56619,0.33883,1.12114,0.94989,0.94368,0.97466,0.82356,0.62583,0.33294,1.20745,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2759.59,0.55868,0.33578,1.11692,0.95444,0.93966,0.97147,0.82287,0.62331,0.33168,1.20584,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2807.91,0.5576,0.33589,1.11532,0.95152,0.94747,0.97091,0.82387,0.62407,0.33426,1.20863,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2856.06,0.5526,0.32913,1.11144,0.94928,0.9486,0.9716,0.82277,0.62255,0.33207,1.20915,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2904.26,0.55249,0.33037,1.11198,0.94914,0.94581,0.97393,0.82343,0.62309,0.33233,1.21012,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2952.49,0.54543,0.32556,1.10913,0.95274,0.94073,0.97606,0.82439,0.62077,0.32804,1.20788,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3000.86,0.54763,0.32376,1.10917,0.94904,0.94771,0.97612,0.82627,0.62106,0.33083,1.20817,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3049.15,0.5459,0.32406,1.10524,0.95031,0.9461,0.97617,0.8257,0.62184,0.33162,1.21,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3097.61,0.53879,0.31891,1.1,0.94694,0.94932,0.97183,0.82546,0.62173,0.3308,1.21121,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3145.89,0.53427,0.31578,1.09946,0.93988,0.95593,0.97072,0.82697,0.62038,0.33171,1.21148,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3194.11,0.53213,0.31382,1.09689,0.94857,0.95012,0.97115,0.825,0.61829,0.33039,1.21099,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3242.42,0.52893,0.311,1.09637,0.94912,0.94932,0.97156,0.82468,0.61648,0.32782,1.21109,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3290.68,0.52033,0.30388,1.0913,0.95067,0.94932,0.97361,0.82595,0.6152,0.32694,1.21048,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3338.91,0.52459,0.30847,1.09188,0.95229,0.9469,0.97287,0.82871,0.61465,0.32605,1.2112,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3387.22,0.52427,0.30982,1.09086,0.95324,0.95131,0.97394,0.82807,0.61425,0.3252,1.21161,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3435.46,0.52043,0.30784,1.09109,0.9539,0.95253,0.97432,0.82911,0.61668,0.32519,1.2145,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3483.81,0.50839,0.30084,1.08253,0.95075,0.95173,0.97346,0.8287,0.61643,0.32436,1.21466,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3532.17,0.50677,0.29928,1.08125,0.94952,0.95093,0.97823,0.83015,0.61457,0.32753,1.21323,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3580.54,0.50333,0.29727,1.07779,0.94959,0.95093,0.97822,0.83002,0.61385,0.32788,1.21342,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3628.96,0.50379,0.29607,1.077,0.95179,0.95296,0.97833,0.82962,0.61318,0.32973,1.21332,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3677.26,0.49644,0.29102,1.07275,0.94805,0.95435,0.97352,0.82959,0.61376,0.32871,1.21428,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3725.45,0.49485,0.28808,1.07192,0.95104,0.95325,0.97378,0.83027,0.6125,0.32929,1.21384,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3773.67,0.48749,0.28572,1.06772,0.95175,0.95253,0.97335,0.82718,0.61195,0.32903,1.21438,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3821.96,0.48804,0.28587,1.06706,0.95159,0.95173,0.97351,0.82864,0.61254,0.32741,1.21545,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3870.19,0.48177,0.28416,1.06671,0.95326,0.95172,0.97399,0.82784,0.61392,0.32724,1.21745,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3918.52,0.48179,0.28121,1.06519,0.95309,0.95093,0.97359,0.82812,0.61322,0.32619,1.21754,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3966.91,0.47172,0.27573,1.05802,0.95388,0.95093,0.97353,0.82812,0.61281,0.32561,1.21755,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4015.18,0.47389,0.27544,1.05901,0.95621,0.94865,0.97348,0.82652,0.613,0.32575,1.21766,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4063.49,0.47508,0.27889,1.05819,0.95413,0.94932,0.97326,0.82614,0.61349,0.32516,1.21804,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4111.8,0.46845,0.27328,1.05781,0.9524,0.95012,0.97338,0.82728,0.61287,0.32458,1.21812,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4160.22,0.46317,0.27096,1.0519,0.95178,0.95012,0.97324,0.82713,0.61227,0.32509,1.21777,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4208.5,0.46154,0.27098,1.05324,0.94987,0.95414,0.97321,0.82734,0.61205,0.32477,1.21791,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4256.84,0.45439,0.26625,1.04983,0.95025,0.95414,0.97317,0.82704,0.61192,0.32484,1.21836,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4305.18,0.45616,0.26352,1.05042,0.95035,0.95472,0.97314,0.82647,0.61205,0.32483,1.21862,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4353.49,0.45088,0.26248,1.04712,0.95033,0.95424,0.97311,0.82698,0.61228,0.32569,1.21923,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4401.99,0.34468,0.18869,1.00799,0.9502,0.95414,0.97316,0.82592,0.61213,0.32494,1.21954,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4449.57,0.33189,0.18015,0.99842,0.94955,0.95403,0.97317,0.82572,0.61236,0.32428,1.22014,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4497.23,0.32495,0.17669,0.9936,0.94955,0.95399,0.97301,0.82486,0.61205,0.32289,1.22073,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4544.84,0.31998,0.17398,0.99039,0.95355,0.94851,0.97293,0.8251,0.61228,0.32343,1.22166,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4592.68,0.31691,0.17017,0.98389,0.9547,0.94771,0.9723,0.82437,0.61236,0.32299,1.22299,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4640.3,0.30836,0.1677,0.98101,0.95397,0.94771,0.97217,0.82369,0.61193,0.32261,1.22326,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4687.75,0.30311,0.16405,0.97547,0.9537,0.94771,0.97214,0.82347,0.61191,0.32218,1.22383,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
